keyword,ly_do,cap_do
biệt thự,"Chỉ bán căn hộ Beachtro (chốt 2026-08-06). 'blanca city' là brand đại đô thị 96ha nhiều dòng SP — LP không có biệt thự",campaign
biet thu,Biến thể không dấu — negative KHÔNG khớp close variant,campaign
shophouse,"Chỉ bán căn hộ Beachtro (chốt 2026-08-06)",campaign
shop house,Biến thể tách từ,campaign
nhà phố,"Chỉ bán căn hộ Beachtro (chốt 2026-08-06)",campaign
nha pho,Biến thể không dấu,campaign
liền kề,"Chỉ bán căn hộ Beachtro (chốt 2026-08-06)",campaign
lien ke,Biến thể không dấu,campaign
đất nền,"Chỉ bán căn hộ Beachtro (chốt 2026-08-06)",campaign
dat nen,Biến thể không dấu,campaign
condotel,"Chỉ bán căn hộ sở hữu lâu dài — condotel là dòng SP + hình thức sở hữu khác",campaign
villa,Đồng nghĩa tiếng Anh của biệt thự,campaign
townhouse,Đồng nghĩa tiếng Anh của nhà phố,campaign
dưới 1 tỷ,"Dưới giá sàn — Keyword Planner 2026-08-06 thấy 'chung cư vũng tàu dưới 1 tỷ' 90 lượt/tháng, không phải khách của dự án",campaign
duoi 1 ty,Biến thể không dấu,campaign
vé,"Khách du lịch tìm vé Sun World/công viên nước trong Blanca City — phần lớn 12.100 lượt/tháng 'blanca city' có thể là khách chơi, không phải người mua nhà",campaign
gia ve,Biến thể không dấu ('ve' trần quá ngắn — dùng cụm),campaign
ve vao cong,Biến thể không dấu,campaign
resort,Khách tìm chỗ nghỉ — Blanca City có cấu phần khách sạn/nghỉ dưỡng,campaign
công viên nước,Khách du lịch Sun World,campaign
cong vien nuoc,Biến thể không dấu,campaign
tắm biển,Khách du lịch — dự án có 1km bờ biển,campaign
tam bien,Biến thể không dấu,campaign
sun world,Khách tìm khu vui chơi Sun World — không phải người mua căn hộ,campaign
thanh lý,Săn hàng thanh lý — không phải khách sơ cấp,campaign
thanh ly,Biến thể không dấu,campaign
chuyển nhượng,Thị trường thứ cấp — dự án chưa mở bán thì chưa có hàng chuyển nhượng,campaign
chuyen nhuong,Biến thể không dấu,campaign
