# tên dự án | chủ đầu tư | loại hình | khu vực | hạng (A = CĐT lớn/dự án hot, được thêm 6 modifier phụ) | alias (tùy chọn, cách nhau bằng dấu phẩy)
# alias = tên khác của CÙNG dự án (tên kèm tỉnh, tên marketing, tên phân khu) — dùng chung ad group brand, KHÔNG tạo dòng dự án riêng
# Nguồn: quét web 07/2026 (cafeland.vn, batdongsan.com.vn, cafef.vn, vnexpress.net, vietnambiz.vn, trang CĐT)

# ============ TP.HCM ============
the global city | Masterise Homes | khu đô thị | Thủ Đức, TP.HCM | A
lumiere midtown | Masterise Homes | căn hộ | Thủ Đức, TP.HCM | A
masteri grand view | Masterise Homes | căn hộ | Thủ Đức, TP.HCM | A
grand marina saigon | Masterise Homes | căn hộ hạng sang | Quận 1, TP.HCM | A
lumiere riverside | Masterise Homes | căn hộ | Thủ Đức, TP.HCM | A
masteri an phú | Masterise Homes | căn hộ | Thủ Đức, TP.HCM | B
masteri thảo điền | Masterise Homes | căn hộ | Thủ Đức, TP.HCM | B
masteri millennium | Masterise Homes | căn hộ | Quận 4, TP.HCM | B
masteri west heights | Masterise Homes | căn hộ | Bình Tân, TP.HCM | A
masteri waterfront | Masterise Homes | căn hộ | Thủ Đức, TP.HCM | B
the ritz carlton residences | Masterise Homes | căn hộ hạng sang | Quận 1, TP.HCM | A
sunrise riverside | Novaland | căn hộ | Nhà Bè, TP.HCM | A
dxh riverside | Đất Xanh Group | căn hộ | Thủ Đức, TP.HCM | A
gem riverside | Đất Xanh Group | căn hộ | Thủ Đức, TP.HCM | A
opal city view | Đất Xanh Group | căn hộ | TP.HCM | B
opal luxury | Đất Xanh Group | căn hộ | TP.HCM | B
dxh parkview | Đất Xanh Group | căn hộ | TP.HCM | B
the everrich infinity | Phát Đạt | căn hộ | Quận 5, TP.HCM | B
lotte eco smart city thủ thiêm | Phát Đạt - Lotte | khu phức hợp | Thủ Đức, TP.HCM | A
westgate bình chánh | An Gia | căn hộ | Bình Chánh, TP.HCM | A
sky89 | An Gia | căn hộ | Quận 7, TP.HCM | B
river panorama | An Gia | căn hộ | Quận 8, TP.HCM | B
the sóng vũng tàu | An Gia | căn hộ nghỉ dưỡng | Vũng Tàu, BR-VT | B
elysian gamuda | Gamuda Land | căn hộ | Thủ Đức, TP.HCM | A
celadon city | Gamuda Land | khu đô thị | Tân Phú, TP.HCM | A
celesta heights | Keppel Land - Phú Long | căn hộ | Nhà Bè, TP.HCM | A
celesta gold | Keppel Land | căn hộ | Nhà Bè, TP.HCM | A
celesta rise | Keppel Land | căn hộ | Nhà Bè, TP.HCM | A
palm city | Keppel Land | khu đô thị | Thủ Đức, TP.HCM | B
empire city thủ thiêm | Keppel - Trần Thái - Gaw | căn hộ | Thủ Đức, TP.HCM | A
riviera point | Keppel Land | căn hộ | Quận 7, TP.HCM | B
the estella | Keppel Land | căn hộ | Thủ Đức, TP.HCM | B
vạn phúc city | Tập đoàn Đại Phúc | khu đô thị | Thủ Đức, TP.HCM | A
maison vạn phúc | Tập đoàn Đại Phúc | nhà phố | Thủ Đức, TP.HCM | B
vinhomes central park | Vinhomes | căn hộ | Bình Thạnh, TP.HCM | A
vinhomes golden river | Vinhomes | căn hộ | Quận 1, TP.HCM | A
vinhomes grand park | Vinhomes | căn hộ | Thủ Đức, TP.HCM | A
vinhomes green paradise | Vinhomes | khu đô thị lấn biển | Cần Giờ, TP.HCM | A
vinhomes cần giờ | Vinhomes | khu đô thị lấn biển | Cần Giờ, TP.HCM | A
vịnh ngọc cần giờ | Vinhomes | căn hộ biệt thự | Cần Giờ, TP.HCM | B
