keyword,nhom_adgroup,intent_tier,loai_hinh,khu_vuc,match_type,uu_tien,ghi_chu,ngay_them
căn hộ tphcm,tphcm--generic-can-ho,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
căn hộ tphcm,tphcm--generic-can-ho,T2_giao_dich,căn hộ,tphcm (TP.HCM),exact,1,head term theo loại hình + khu vực | bản exact để kiểm soát bid,2026-07-28
căn hộ tphcm giá,tphcm--gia-bang-gia,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
căn hộ tphcm giá,tphcm--gia-bang-gia,T2_giao_dich,căn hộ,tphcm (TP.HCM),exact,1,"intent hỏi giá, dẫn về block bảng giá LP | bản exact để kiểm soát bid",2026-07-28
căn hộ tphcm bảng giá,tphcm--gia-bang-gia,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
căn hộ tphcm bảng giá,tphcm--gia-bang-gia,T2_giao_dich,căn hộ,tphcm (TP.HCM),exact,1,lead magnet: tải bảng giá | bản exact để kiểm soát bid,2026-07-28
căn hộ tphcm giá bao nhiêu,tphcm--gia-bang-gia,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,1,long-tail hỏi giá,2026-07-28
căn hộ tphcm giá bao nhiêu,tphcm--gia-bang-gia,T2_giao_dich,căn hộ,tphcm (TP.HCM),exact,1,long-tail hỏi giá | bản exact để kiểm soát bid,2026-07-28
mua căn hộ tphcm,tphcm--mua-ban,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,1,intent mua trực tiếp,2026-07-28
mua căn hộ tphcm,tphcm--mua-ban,T2_giao_dich,căn hộ,tphcm (TP.HCM),exact,1,intent mua trực tiếp | bản exact để kiểm soát bid,2026-07-28
bán căn hộ tphcm,tphcm--mua-ban,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,"cẩn thận: có thể là người bán, theo dõi search term",2026-07-28
căn hộ tphcm mở bán,tphcm--mo-ban-moi,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,1,"intent hàng mới, CPL thường tốt nhất",2026-07-28
căn hộ tphcm mở bán,tphcm--mo-ban-moi,T2_giao_dich,căn hộ,tphcm (TP.HCM),exact,1,"intent hàng mới, CPL thường tốt nhất | bản exact để kiểm soát bid",2026-07-28
dự án căn hộ tphcm,tphcm--du-an-khu-vuc,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,1,duyệt danh mục dự án theo khu vực,2026-07-28
dự án căn hộ tphcm,tphcm--du-an-khu-vuc,T2_giao_dich,căn hộ,tphcm (TP.HCM),exact,1,duyệt danh mục dự án theo khu vực | bản exact để kiểm soát bid,2026-07-28
dự án căn hộ mới tphcm,tphcm--mo-ban-moi,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,hàng mới ra,2026-07-28
căn hộ tphcm sắp mở bán,tphcm--mo-ban-moi,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,giữ chỗ sớm,2026-07-28
căn hộ tphcm trả góp,tphcm--tai-chinh,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,dẫn về block chính sách vay,2026-07-28
căn hộ tphcm trả góp ngân hàng,tphcm--tai-chinh,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,hỗ trợ vay,2026-07-28
căn hộ tphcm cao cấp,tphcm--phan-khuc-cao,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,phân khúc cao cấp,2026-07-28
căn hộ tphcm bàn giao ngay,tphcm--san-sang-o,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,"nhu cầu ở ngay, chốt nhanh",2026-07-28
căn hộ tphcm 2 phòng ngủ,tphcm--cau-hinh-can,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,lọc theo cấu hình,2026-07-28
căn hộ tphcm 3 phòng ngủ,tphcm--cau-hinh-can,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,lọc theo cấu hình,2026-07-28
căn hộ tphcm dưới 2 tỷ,tphcm--phan-khuc-ngan-sach,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,phân khúc ngân sách,2026-07-28
căn hộ tphcm dưới 3 tỷ,tphcm--phan-khuc-ngan-sach,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,phân khúc ngân sách,2026-07-28
căn hộ tphcm dưới 5 tỷ,tphcm--phan-khuc-ngan-sach,T2_giao_dich,căn hộ,tphcm (TP.HCM),phrase,2,phân khúc ngân sách,2026-07-28
có nên mua căn hộ tphcm,tphcm--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,tphcm (TP.HCM),phrase,3,"top-funnel, đẩy về bài SEO + remarketing",2026-07-28
căn hộ tphcm review,tphcm--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,tphcm (TP.HCM),phrase,3,cần negative 'lừa đảo',2026-07-28
căn hộ tphcm đánh giá,tphcm--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,tphcm (TP.HCM),phrase,3,top-funnel,2026-07-28
căn hộ tphcm pháp lý,tphcm--phap-ly,T3_nghien_cuu,căn hộ,tphcm (TP.HCM),phrase,3,"quan tâm sổ hồng, giấy tờ",2026-07-28
căn hộ tphcm tiến độ,tphcm--tien-do,T3_nghien_cuu,căn hộ,tphcm (TP.HCM),phrase,3,"thường là khách đã mua, giá trị lead thấp hơn",2026-07-28
nên mua căn hộ tphcm ở đâu,tphcm--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,tphcm (TP.HCM),phrase,3,top-funnel,2026-07-28
chung cư tphcm,tphcm--generic-chung-cu,T2_giao_dich,chung cư,tphcm (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
chung cư tphcm giá,tphcm--gia-bang-gia,T2_giao_dich,chung cư,tphcm (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
chung cư tphcm bảng giá,tphcm--gia-bang-gia,T2_giao_dich,chung cư,tphcm (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
chung cư tphcm giá bao nhiêu,tphcm--gia-bang-gia,T2_giao_dich,chung cư,tphcm (TP.HCM),phrase,1,long-tail hỏi giá,2026-07-28
mua chung cư tphcm,tphcm--mua-ban,T2_giao_dich,chung cư,tphcm (TP.HCM),phrase,1,intent mua trực tiếp,2026-07-28
đất nền tphcm,tphcm--generic-dat-nen,T2_giao_dich,đất nền,tphcm (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
đất nền tphcm giá,tphcm--gia-bang-gia,T2_giao_dich,đất nền,tphcm (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
đất nền tphcm bảng giá,tphcm--gia-bang-gia,T2_giao_dich,đất nền,tphcm (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
đất nền tphcm giá bao nhiêu,tphcm--gia-bang-gia,T2_giao_dich,đất nền,tphcm (TP.HCM),phrase,1,long-tail hỏi giá,2026-07-28
mua đất nền tphcm,tphcm--mua-ban,T2_giao_dich,đất nền,tphcm (TP.HCM),phrase,1,intent mua trực tiếp,2026-07-28
nhà phố tphcm,tphcm--generic-nha-pho,T2_giao_dich,nhà phố,tphcm (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
nhà phố tphcm giá,tphcm--gia-bang-gia,T2_giao_dich,nhà phố,tphcm (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
nhà phố tphcm bảng giá,tphcm--gia-bang-gia,T2_giao_dich,nhà phố,tphcm (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
nhà phố tphcm giá bao nhiêu,tphcm--gia-bang-gia,T2_giao_dich,nhà phố,tphcm (TP.HCM),phrase,1,long-tail hỏi giá,2026-07-28
mua nhà phố tphcm,tphcm--mua-ban,T2_giao_dich,nhà phố,tphcm (TP.HCM),phrase,1,intent mua trực tiếp,2026-07-28
căn hộ hồ chí minh,ho-chi-minh--generic-can-ho,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
căn hộ hồ chí minh,ho-chi-minh--generic-can-ho,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),exact,1,head term theo loại hình + khu vực | bản exact để kiểm soát bid,2026-07-28
căn hộ hồ chí minh giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
căn hộ hồ chí minh giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),exact,1,"intent hỏi giá, dẫn về block bảng giá LP | bản exact để kiểm soát bid",2026-07-28
căn hộ hồ chí minh bảng giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
căn hộ hồ chí minh bảng giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),exact,1,lead magnet: tải bảng giá | bản exact để kiểm soát bid,2026-07-28
căn hộ hồ chí minh giá bao nhiêu,ho-chi-minh--gia-bang-gia,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,1,long-tail hỏi giá,2026-07-28
căn hộ hồ chí minh giá bao nhiêu,ho-chi-minh--gia-bang-gia,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),exact,1,long-tail hỏi giá | bản exact để kiểm soát bid,2026-07-28
mua căn hộ hồ chí minh,ho-chi-minh--mua-ban,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,1,intent mua trực tiếp,2026-07-28
mua căn hộ hồ chí minh,ho-chi-minh--mua-ban,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),exact,1,intent mua trực tiếp | bản exact để kiểm soát bid,2026-07-28
bán căn hộ hồ chí minh,ho-chi-minh--mua-ban,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,"cẩn thận: có thể là người bán, theo dõi search term",2026-07-28
căn hộ hồ chí minh mở bán,ho-chi-minh--mo-ban-moi,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,1,"intent hàng mới, CPL thường tốt nhất",2026-07-28
căn hộ hồ chí minh mở bán,ho-chi-minh--mo-ban-moi,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),exact,1,"intent hàng mới, CPL thường tốt nhất | bản exact để kiểm soát bid",2026-07-28
dự án căn hộ hồ chí minh,ho-chi-minh--du-an-khu-vuc,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,1,duyệt danh mục dự án theo khu vực,2026-07-28
dự án căn hộ hồ chí minh,ho-chi-minh--du-an-khu-vuc,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),exact,1,duyệt danh mục dự án theo khu vực | bản exact để kiểm soát bid,2026-07-28
dự án căn hộ mới hồ chí minh,ho-chi-minh--mo-ban-moi,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,hàng mới ra,2026-07-28
căn hộ hồ chí minh sắp mở bán,ho-chi-minh--mo-ban-moi,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,giữ chỗ sớm,2026-07-28
căn hộ hồ chí minh trả góp,ho-chi-minh--tai-chinh,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,dẫn về block chính sách vay,2026-07-28
căn hộ hồ chí minh trả góp ngân hàng,ho-chi-minh--tai-chinh,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,hỗ trợ vay,2026-07-28
căn hộ hồ chí minh cao cấp,ho-chi-minh--phan-khuc-cao,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,phân khúc cao cấp,2026-07-28
căn hộ hồ chí minh bàn giao ngay,ho-chi-minh--san-sang-o,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,"nhu cầu ở ngay, chốt nhanh",2026-07-28
